source,index,id,isim,brand,status,reasons
branded,2,8693374264141,1,,invalid,invalid_name_no_alpha
branded,9,8699118017707,55,,invalid,invalid_name_no_alpha
branded,24,8696368005850,Activia Mix Go,Activia,suspect,suspect_duplicate_name_brand
branded,39,8697412876815,Ahinur Grüne Oliven mit Paprika,Ahinur,suspect,suspect_macro_kcal_mismatch
branded,106,8690504059899,Alpella Bar cake chocolate al amir,Alpella,suspect,suspect_sugar_gt_carb
branded,137,8682214715509,Amigos Kuru İncir,Amigos,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb|suspect_satfat_gt_fat
branded,157,5061016831441,Antep Fistigi sosu,Antep,suspect,suspect_macro_kcal_mismatch
branded,212,8690931005056,Ayran,,suspect,suspect_duplicate_name_brand
branded,213,8697462731546,Ayran,,suspect,suspect_duplicate_name_brand
branded,215,8692971423371,Ayran,,suspect,suspect_duplicate_name_brand
branded,216,8690982016872,Ayran,,suspect,suspect_duplicate_name_brand
branded,268,8691020006336,Balsa Karışık Meyve Aromalı Gazoz,Balsa,invalid,invalid_gram_range_seker100g
branded,285,8690451704149,Banvit Piliç Yaprak Döner,Banvit,suspect,suspect_duplicate_name_brand
branded,325,8694962011772,Beyaz peynir,,suspect,suspect_duplicate_name_brand
branded,326,8690347010576,Beyaz peynir,,suspect,suspect_duplicate_name_brand
branded,327,8695077027757,Beyaz peynir,,suspect,suspect_duplicate_name_brand
branded,382,8682214704916,Bisto Tarçınlı Zencefilli Kurabiye,Bisto,invalid,invalid_gram_range_seker100g
branded,396,8698720865256,black bruin,,suspect,suspect_macro_kcal_mismatch
branded,401,8690504512868,Boisson,,suspect,suspect_macro_kcal_mismatch
branded,424,8695077073839,Boza,,suspect,suspect_macro_kcal_mismatch
branded,449,8690931011910,Buttermilk,,suspect,suspect_macro_kcal_mismatch
branded,485,8690346376574,Carambar la sucette,Carambar,suspect,suspect_macro_kcal_mismatch
branded,501,8690982031417,Carrefour Selection Hardal Sos,Carrefour,suspect,suspect_macro_kcal_mismatch
branded,608,8693029032682,Croissant,,suspect,suspect_duplicate_name_brand
branded,633,8696368943503,Danone Vişne Nektarı,Danone,suspect,suspect_sugar_gt_carb
branded,698,8680205513264,Deran ICE tea,Deran,suspect,suspect_macro_kcal_mismatch
branded,756,8695077000538,Dost süt,Dost,suspect,suspect_sugar_gt_carb
branded,757,8695077092021,Dost Süt,Dost,suspect,suspect_duplicate_name_brand
branded,815,8691316521079,Eker Ayran,Eker,suspect,suspect_duplicate_name_brand
branded,816,8691316521420,eker ayran,Eker,suspect,suspect_macro_kcal_mismatch
branded,818,8691316521802,Eker Ayran,Eker,suspect,suspect_duplicate_name_brand
branded,822,8691316520294,Eker Homojenize Yarım Yağlı Yoğurt,Eker,suspect,suspect_duplicate_name_brand
branded,832,8691316520744,Eker yoğurt,Eker,suspect,suspect_duplicate_name_brand
branded,860,8697288505307,Ender Kek askim,Ender,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
branded,876,8690533024035,Eti Balik Kraker,Eti,suspect,suspect_satfat_gt_fat
branded,880,8690533021133,Eti Cicibebe,Eti,suspect,suspect_duplicate_name_brand
branded,889,8690526699615,Eti Frigo,Eti,suspect,suspect_sugar_gt_carb
branded,891,2000000043477,Eti Gong,Eti,suspect,suspect_macro_kcal_mismatch
branded,894,8690526669021,Eti Gong Pops,Eti,suspect,suspect_duplicate_name_brand
branded,911,8690526847948,Eti pronot,Eti,suspect,suspect_duplicate_name_brand
branded,916,8690526620343,ETI Tutku,ETI,suspect,suspect_duplicate_name_brand
branded,918,8690526770345,Eti Tutku,Eti,suspect,suspect_duplicate_name_brand
branded,919,3695526083254,Eti Tutku,Eti,suspect,suspect_duplicate_name_brand
branded,927,86920131,ETİ KARIŞIK PUF,ETİ,suspect,suspect_macro_kcal_mismatch
branded,970,8691405653315,Fide Light Ton Balığı,Fide,suspect,suspect_duplicate_name_brand
branded,971,8691405653308,Fide Light Ton Balığı,Fide,suspect,suspect_duplicate_name_brand
branded,1001,5708657219701,Flux,,suspect,suspect_macro_kcal_mismatch
branded,1033,5449000002952,Fuze Peach Ice Tea 330ML,,suspect,suspect_macro_kcal_mismatch
branded,1035,8682615100478,Fıstık Ezmesi,,suspect,suspect_duplicate_name_brand
branded,1067,8682588742101,Glutensiz Fabrika Kaya tuzlu basmati pirinç patlağı,Glutensiz Fabrika,suspect,suspect_macro_kcal_mismatch
branded,1149,8691216097193,Haribo Chamallows,Haribo,suspect,suspect_duplicate_name_brand
branded,1150,8691216102743,Haribo chamallows,Haribo,suspect,suspect_duplicate_name_brand
branded,1190,8684992004929,Harras Rendelenmiş Domates,Harras,suspect,suspect_duplicate_name_brand
branded,1208,8695077031075,Harras Çavdarlı Ekmek,Harras,suspect,suspect_duplicate_name_brand
branded,1215,8684252802685,Hasata Basmati pirinç,Hasata,suspect,suspect_duplicate_name_brand
branded,1236,8696362805197,Heinz Mayonez,Heinz,suspect,suspect_duplicate_name_brand
branded,1250,8680030811313,High Nutrition Whey Protein,High Nutrition,suspect,suspect_duplicate_name_brand
branded,1272,8691020680406,Hot line energy drink,Hot Line,suspect,suspect_macro_kcal_mismatch
branded,1278,8695077006196,Hyperbon Nane Aromalı Sakız,Hyperbon,suspect,suspect_macro_kcal_mismatch
